number,value,datetime_start,datetime_complete,duration,params_filters_0,params_filters_1,params_filters_2,params_filters_3,params_n_conv_layers,params_padding_0,params_padding_1,params_padding_2,params_padding_3,params_pool_0,params_pool_1,params_pool_2,params_pool_3,user_attrs_macs,user_attrs_macs_ratio,user_attrs_val_accuracy,system_attrs_tpe:relative_params:0,state
44,0.9066802065755918,2026-09-16 14:21:19.838733,2026-09-16 14:22:03.161968,0 days 00:00:43.323235,16,32,32.0,32.0,4,same,same,valid,same,2,2,1.0,1.0,2544640.0,0.044981637117769924,0.9102787375450134,"{""filters_0"": 16, ""filters_1"": 32, ""n_conv_layers"": 4, ""padding_0"": ""same"", ""padding_1"": ""same"", ""pool_0"": 2, ""pool_1"": 2}",COMPLETE
45,0.35408298136294364,2026-09-16 14:22:03.162520,2026-09-16 14:22:18.307246,0 days 00:00:15.144726,32,24,32.0,32.0,4,same,same,valid,same,2,2,1.0,1.0,3395680.0,0.06002548318350296,0.3588850200176239,"{""filters_0"": 32, ""filters_1"": 24, ""n_conv_layers"": 4, ""padding_0"": ""same"", ""padding_1"": ""same"", ""pool_0"": 2, ""pool_1"": 2}",COMPLETE
46,0.9166357991788133,2026-09-16 14:22:18.308092,2026-09-16 14:23:02.469308,0 days 00:00:44.161216,16,48,32.0,32.0,4,same,same,valid,same,2,2,1.0,1.0,3512320.0,0.06208733010621764,0.9216027855873108,"{""filters_0"": 16, ""filters_1"": 48, ""n_conv_layers"": 4, ""padding_0"": ""same"", ""padding_1"": ""same"", ""pool_0"": 2, ""pool_1"": 2}",COMPLETE
47,0.4450077515031889,2026-09-16 14:23:02.469858,2026-09-16 14:23:16.119312,0 days 00:00:13.649454,16,32,32.0,32.0,4,same,same,valid,same,2,2,1.0,1.0,2544640.0,0.044981637117769924,0.4486062824726105,"{""filters_0"": 16, ""filters_1"": 32, ""n_conv_layers"": 4, ""padding_0"": ""same"", ""padding_1"": ""same"", ""pool_0"": 2, ""pool_1"": 2}",COMPLETE
48,0.28336052871677725,2026-09-16 14:23:16.120003,2026-09-16 14:23:29.490762,0 days 00:00:13.370759,16,48,32.0,32.0,4,same,same,valid,same,2,2,1.0,1.0,3512320.0,0.06208733010621764,0.28832751512527466,"{""filters_0"": 16, ""filters_1"": 48, ""n_conv_layers"": 4, ""padding_0"": ""same"", ""padding_1"": ""same"", ""pool_0"": 2, ""pool_1"": 2}",COMPLETE
49,0.22590591108526908,2026-09-16 14:23:29.493237,2026-09-16 14:23:52.150305,0 days 00:00:22.657068,48,16,32.0,32.0,4,same,same,valid,same,2,2,1.0,1.0,3486400.0,0.061629141901169936,0.23083624243736267,"{""filters_0"": 48, ""filters_1"": 16, ""n_conv_layers"": 4, ""padding_0"": ""same"", ""padding_1"": ""same"", ""pool_0"": 2, ""pool_1"": 2}",COMPLETE
50,0.5158306537175638,2026-09-16 14:23:52.151015,2026-09-16 14:24:08.136604,0 days 00:00:15.985589,16,24,32.0,32.0,4,same,same,valid,same,4,2,1.0,1.0,509056.0,0.00899859008135669,0.5165505409240723,"{""filters_0"": 16, ""filters_1"": 24, ""n_conv_layers"": 4, ""padding_0"": ""same"", ""padding_1"": ""same"", ""pool_0"": 4, ""pool_1"": 2}",COMPLETE
51,0.8714492530020732,2026-09-16 14:24:08.137833,2026-09-16 14:25:35.781167,0 days 00:01:27.643334,24,24,32.0,32.0,4,same,valid,valid,same,1,2,1.0,1.0,10210480.0,0.18049079876062918,0.8858885169029236,"{""filters_0"": 24, ""filters_1"": 24, ""n_conv_layers"": 4, ""padding_0"": ""same"", ""padding_1"": ""valid"", ""pool_0"": 1, ""pool_1"": 2}",COMPLETE
52,,2026-09-16 14:25:35.781871,2026-09-16 14:25:35.856415,0 days 00:00:00.074544,16,24,32.0,32.0,4,same,same,valid,same,2,4,1.0,2.0,,,,"{""filters_0"": 16, ""filters_1"": 24, ""n_conv_layers"": 4, ""padding_0"": ""same"", ""padding_1"": ""same"", ""pool_0"": 2, ""pool_1"": 4}",PRUNED
53,0.6639594391824255,2026-09-16 14:25:35.856904,2026-09-16 14:26:13.070257,0 days 00:00:37.213353,16,24,,,2,same,valid,,,2,2,,,1093080.0,0.019322390554535003,0.6655052304267883,"{""filters_0"": 16, ""filters_1"": 24, ""n_conv_layers"": 2, ""padding_0"": ""same"", ""padding_1"": ""valid"", ""pool_0"": 2, ""pool_1"": 2}",COMPLETE
54,0.8750567903835704,2026-09-16 14:26:13.073556,2026-09-16 14:26:59.945864,0 days 00:00:46.872308,16,24,16.0,32.0,4,same,same,valid,same,2,2,4.0,1.0,1499776.0,0.02651156147429126,0.8771777153015137,"{""filters_0"": 16, ""filters_1"": 24, ""n_conv_layers"": 4, ""padding_0"": ""same"", ""padding_1"": ""same"", ""pool_0"": 2, ""pool_1"": 2}",COMPLETE
55,0.8806669364203096,2026-09-16 14:26:59.947234,2026-09-16 14:29:05.568499,0 days 00:02:05.621265,24,48,32.0,32.0,4,same,same,valid,valid,1,2,1.0,1.0,19707568.0,0.34837095709010896,0.9085366129875183,"{""filters_0"": 24, ""filters_1"": 48, ""n_conv_layers"": 4, ""padding_0"": ""same"", ""padding_1"": ""same"", ""pool_0"": 1, ""pool_1"": 2}",COMPLETE
56,0.4491075693829406,2026-09-16 14:29:05.570629,2026-09-16 14:29:25.000082,0 days 00:00:19.429453,48,24,32.0,48.0,4,same,valid,valid,same,2,4,1.0,1.0,3341328.0,0.05906470211402947,0.453832745552063,"{""filters_0"": 48, ""filters_1"": 24, ""n_conv_layers"": 4, ""padding_0"": ""same"", ""padding_1"": ""valid"", ""pool_0"": 2, ""pool_1"": 4}",COMPLETE
57,0.917598087165611,2026-09-16 14:29:25.002226,2026-09-16 14:30:49.134299,0 days 00:01:24.132073,48,48,24.0,32.0,4,same,valid,valid,same,2,2,1.0,1.0,6527680.0,0.11538989129343419,0.9268292784690857,"{""filters_0"": 48, ""filters_1"": 48, ""n_conv_layers"": 4, ""padding_0"": ""same"", ""padding_1"": ""valid"", ""pool_0"": 2, ""pool_1"": 2}",COMPLETE
58,0.3461695199945142,2026-09-16 14:30:49.136910,2026-09-16 14:31:15.412911,0 days 00:00:26.276001,48,48,24.0,32.0,4,same,valid,valid,same,2,2,1.0,1.0,6527680.0,0.11538989129343419,0.3554007112979889,"{""filters_0"": 48, ""filters_1"": 48, ""n_conv_layers"": 4, ""padding_0"": ""same"", ""padding_1"": ""valid"", ""pool_0"": 2, ""pool_1"": 2}",COMPLETE
59,0.6126808484509333,2026-09-16 14:31:15.413561,2026-09-16 14:31:32.411542,0 days 00:00:16.997981,16,32,24.0,32.0,4,same,valid,valid,same,2,2,4.0,1.0,1627648.0,0.028771956619193278,0.6149826049804688,"{""filters_0"": 16, ""filters_1"": 32, ""n_conv_layers"": 4, ""padding_0"": ""same"", ""padding_1"": ""valid"", ""pool_0"": 2, ""pool_1"": 2}",COMPLETE
60,0.8836185747127432,2026-09-16 14:31:32.412249,2026-09-16 14:32:09.141388,0 days 00:00:36.729139,16,16,24.0,32.0,4,valid,valid,valid,same,2,2,1.0,1.0,989152.0,0.017485253834851434,0.8850173950195312,"{""filters_0"": 16, ""filters_1"": 16, ""n_conv_layers"": 4, ""padding_0"": ""valid"", ""padding_1"": ""valid"", ""pool_0"": 2, ""pool_1"": 2}",COMPLETE
