number,value,datetime_start,datetime_complete,duration,params_alpha,params_conv_filters,params_dense_units,params_initial_lr,user_attrs_param_count,system_attrs_tpe:relative_params:0,state
34,0.4695121943950653,2026-09-07 12:00:21.085026,2026-09-07 12:00:31.862621,0 days 00:00:10.777595,0.020797063209436854,24,64,0.001076220852870527,507581,"{""alpha"": 0.020797063209436854, ""conv_filters"": 24, ""dense_units"": 64, ""initial_lr"": 0.001076220852870527}",COMPLETE
35,0.796167254447937,2026-09-07 12:00:31.863287,2026-09-07 12:01:11.980973,0 days 00:00:40.117686,0.026351664640308962,32,64,0.0005848541579252084,676645,"{""alpha"": 0.026351664640308962, ""conv_filters"": 32, ""dense_units"": 64, ""initial_lr"": 0.0005848541579252084}",COMPLETE
36,0.6864111423492432,2026-09-07 12:01:11.981518,2026-09-07 12:01:26.766509,0 days 00:00:14.784991,0.033690950395709324,16,64,0.005108025193802159,338517,"{""alpha"": 0.033690950395709324, ""conv_filters"": 16, ""dense_units"": 64, ""initial_lr"": 0.005108025193802159}",COMPLETE
37,0.7238675951957703,2026-09-07 12:01:26.767255,2026-09-07 12:01:44.673013,0 days 00:00:17.905758,0.09453784895514389,16,64,0.003912535613614239,338517,"{""alpha"": 0.09453784895514389, ""conv_filters"": 16, ""dense_units"": 64, ""initial_lr"": 0.003912535613614239}",COMPLETE
38,0.7717769742012024,2026-09-07 12:01:44.673751,2026-09-07 12:02:43.988377,0 days 00:00:59.314626,0.024386157392659702,48,64,0.0023301466839228163,1014773,"{""alpha"": 0.024386157392659702, ""conv_filters"": 48, ""dense_units"": 64, ""initial_lr"": 0.0023301466839228163}",COMPLETE
39,0.6811846494674683,2026-09-07 12:02:43.988977,2026-09-07 12:03:23.889662,0 days 00:00:39.900685,0.0012240593703107816,24,64,0.0045517346932462425,507581,"{""alpha"": 0.0012240593703107816, ""conv_filters"": 24, ""dense_units"": 64, ""initial_lr"": 0.0045517346932462425}",COMPLETE
40,0.7526132464408875,2026-09-07 12:03:23.890156,2026-09-07 12:03:42.829409,0 days 00:00:18.939253,0.0047515476379177335,16,64,0.005583413644178439,338517,"{""alpha"": 0.0047515476379177335, ""conv_filters"": 16, ""dense_units"": 64, ""initial_lr"": 0.005583413644178439}",COMPLETE
41,0.799651563167572,2026-09-07 12:03:42.829907,2026-09-07 12:04:23.884470,0 days 00:00:41.054563,0.027560340330018588,32,64,0.00019582728738981226,676645,"{""alpha"": 0.027560340330018588, ""conv_filters"": 32, ""dense_units"": 64, ""initial_lr"": 0.00019582728738981226}",COMPLETE
42,0.7709059119224548,2026-09-07 12:04:23.885103,2026-09-07 12:04:48.412421,0 days 00:00:24.527318,0.05873762923002535,24,64,0.009362250051780506,507581,"{""alpha"": 0.05873762923002535, ""conv_filters"": 24, ""dense_units"": 64, ""initial_lr"": 0.009362250051780506}",COMPLETE
43,0.8040069937705994,2026-09-07 12:04:48.412920,2026-09-07 12:05:13.951669,0 days 00:00:25.538749,0.05530144010067384,16,64,0.00014290589767726626,338517,"{""alpha"": 0.05530144010067384, ""conv_filters"": 16, ""dense_units"": 64, ""initial_lr"": 0.00014290589767726626}",COMPLETE
44,0.8205574750900269,2026-09-07 12:05:13.952214,2026-09-07 12:05:53.966481,0 days 00:00:40.014267,0.06078946673747263,24,64,0.00021294853441493453,507581,"{""alpha"": 0.06078946673747263, ""conv_filters"": 24, ""dense_units"": 64, ""initial_lr"": 0.00021294853441493453}",COMPLETE
45,0.8266550302505493,2026-09-07 12:05:53.967091,2026-09-07 12:06:23.457064,0 days 00:00:29.489973,0.04469705641416562,16,64,0.0001511503710065824,338517,"{""alpha"": 0.04469705641416562, ""conv_filters"": 16, ""dense_units"": 64, ""initial_lr"": 0.0001511503710065824}",COMPLETE
46,0.8118466734886169,2026-09-07 12:06:23.457597,2026-09-07 12:06:47.578110,0 days 00:00:24.120513,0.06245383095189008,16,64,0.000172840176733093,338517,"{""alpha"": 0.06245383095189008, ""conv_filters"": 16, ""dense_units"": 64, ""initial_lr"": 0.000172840176733093}",COMPLETE
47,0.8179442286491394,2026-09-07 12:06:47.578657,2026-09-07 12:07:34.885356,0 days 00:00:47.306699,0.08492778557367751,32,64,0.00010870779717386148,676645,"{""alpha"": 0.08492778557367751, ""conv_filters"": 32, ""dense_units"": 64, ""initial_lr"": 0.00010870779717386148}",COMPLETE
48,0.7378048896789551,2026-09-07 12:07:34.885891,2026-09-07 12:08:21.753998,0 days 00:00:46.868107,0.08909722070752985,32,16,0.00015249590116157887,169477,"{""alpha"": 0.08909722070752985, ""conv_filters"": 32, ""dense_units"": 16, ""initial_lr"": 0.00015249590116157887}",COMPLETE
49,0.8135888576507568,2026-09-07 12:08:21.754560,2026-09-07 12:09:31.736149,0 days 00:01:09.981589,0.07606976967412432,48,64,0.00011711377273321601,1014773,"{""alpha"": 0.07606976967412432, ""conv_filters"": 48, ""dense_units"": 64, ""initial_lr"": 0.00011711377273321601}",COMPLETE
